
info [Mon Aug 26 2019 15:17:14 GMT+0700 (GMT+07:00)]  start server 3100 success
error [Mon Aug 26 2019 15:19:59 GMT+0700 (GMT+07:00)]  excute error: Error: ER_ACCESS_DENIED_ERROR: Access denied for user 'root'@'localhost' (using password: YES)
error [Mon Aug 26 2019 15:20:00 GMT+0700 (GMT+07:00)]  excute error: Error: ER_ACCESS_DENIED_ERROR: Access denied for user 'root'@'localhost' (using password: YES)
error [Mon Aug 26 2019 15:20:01 GMT+0700 (GMT+07:00)]  excute error: Error: ER_ACCESS_DENIED_ERROR: Access denied for user 'root'@'localhost' (using password: YES)
error [Mon Aug 26 2019 15:20:01 GMT+0700 (GMT+07:00)]  excute error: Error: ER_ACCESS_DENIED_ERROR: Access denied for user 'root'@'localhost' (using password: YES)
error [Mon Aug 26 2019 15:20:02 GMT+0700 (GMT+07:00)]  excute error: Error: ER_ACCESS_DENIED_ERROR: Access denied for user 'root'@'localhost' (using password: YES)
error [Mon Aug 26 2019 15:20:02 GMT+0700 (GMT+07:00)]  excute error: Error: ER_ACCESS_DENIED_ERROR: Access denied for user 'root'@'localhost' (using password: YES)
error [Mon Aug 26 2019 15:20:02 GMT+0700 (GMT+07:00)]  excute error: Error: ER_ACCESS_DENIED_ERROR: Access denied for user 'root'@'localhost' (using password: YES)
error [Mon Aug 26 2019 15:20:02 GMT+0700 (GMT+07:00)]  excute error: Error: ER_ACCESS_DENIED_ERROR: Access denied for user 'root'@'localhost' (using password: YES)
error [Mon Aug 26 2019 15:20:15 GMT+0700 (GMT+07:00)]  excute error: Error: ER_ACCESS_DENIED_ERROR: Access denied for user 'root'@'localhost' (using password: YES)
error [Mon Aug 26 2019 15:20:15 GMT+0700 (GMT+07:00)]  excute error: Error: ER_ACCESS_DENIED_ERROR: Access denied for user 'root'@'localhost' (using password: YES)
error [Mon Aug 26 2019 15:20:15 GMT+0700 (GMT+07:00)]  excute error: Error: ER_ACCESS_DENIED_ERROR: Access denied for user 'root'@'localhost' (using password: YES)
error [Mon Aug 26 2019 15:20:16 GMT+0700 (GMT+07:00)]  excute error: Error: ER_ACCESS_DENIED_ERROR: Access denied for user 'root'@'localhost' (using password: YES)
error [Mon Aug 26 2019 15:20:43 GMT+0700 (GMT+07:00)]  excute error: Error: ER_ACCESS_DENIED_ERROR: Access denied for user 'root'@'localhost' (using password: YES)
error [Mon Aug 26 2019 15:20:45 GMT+0700 (GMT+07:00)]  excute error: Error: ER_ACCESS_DENIED_ERROR: Access denied for user 'root'@'localhost' (using password: YES)
error [Mon Aug 26 2019 15:21:57 GMT+0700 (GMT+07:00)]  excute error: Error: ER_ACCESS_DENIED_ERROR: Access denied for user 'root'@'localhost' (using password: YES)
error [Mon Aug 26 2019 15:22:39 GMT+0700 (GMT+07:00)]  excute error: Error: ER_ACCESS_DENIED_ERROR: Access denied for user 'root'@'localhost' (using password: YES)
error [Mon Aug 26 2019 15:22:57 GMT+0700 (GMT+07:00)]  excute error: Error: ER_ACCESS_DENIED_ERROR: Access denied for user 'root'@'localhost' (using password: YES)
error [Mon Aug 26 2019 15:24:53 GMT+0700 (GMT+07:00)]  excute error: Error: ER_ACCESS_DENIED_ERROR: Access denied for user 'root'@'localhost' (using password: YES)

info [Mon Aug 26 2019 15:25:03 GMT+0700 (GMT+07:00)]  start server 3100 success

info [Mon Aug 26 2019 16:41:29 GMT+0700 (GMT+07:00)]  start server 3100 success

info [Mon Aug 26 2019 16:41:55 GMT+0700 (GMT+07:00)]  start server 3100 success

info [Mon Aug 26 2019 16:42:16 GMT+0700 (GMT+07:00)]  start server 3100 success

info [Mon Aug 26 2019 16:44:15 GMT+0700 (GMT+07:00)]  start server 3100 success

info [Mon Aug 26 2019 16:44:39 GMT+0700 (GMT+07:00)]  start server 3100 success

info [Mon Aug 26 2019 16:45:04 GMT+0700 (GMT+07:00)]  start server 3100 success

info [Mon Aug 26 2019 16:45:43 GMT+0700 (GMT+07:00)]  start server 3100 success

info [Mon Aug 26 2019 16:45:49 GMT+0700 (GMT+07:00)]  start server 3100 success

